year,month,day,latitude,longitude,nkill,nkillus,nkillter
2009,8,13,32.301964,69.590665,5,0,0
2009,8,14,32.301964,69.590665,0,0,0
2009,8,18,33.697271,71.144852,4,0,0
2009,8,23,32.320237,69.859741,5,0,0
2009,8,24,32.320237,69.859741,4,0,0
2009,8,26,34.119766,71.104745,0,0,0
2009,8,26,34.565494,71.477429,1,0,0
2009,8,28,34.865214,71.526639,0,0,0
2009,9,1,34.565494,71.477429,1,0,0
2009,9,3,34.565494,71.477429,1,0,0
2009,9,9,33.697271,71.144852,4,0,0
2009,9,11,33.694214,71.496152,0,0,0
2009,9,19,34.735879,71.525833,0,0,0
2009,10,2,34.856902,71.429936,0,0,0
2009,10,2,34.856902,71.429936,0,0,0
2009,10,3,34.856902,71.429936,1,0,0
2009,11,4,34.856902,71.429936,2,0,0
2009,11,6,33.694214,71.496152,0,0,0
2009,11,14,34.856902,71.429936,1,0,0
2009,11,19,33.697271,71.144852,3,0,1
2009,11,27,34.565494,71.477429,1,0,0
2009,11,29,34.856902,71.429936,0,0,0
2009,11,30,34.856902,71.429936,1,0,0
2009,12,1,33.697271,71.144852,3,0,0
2009,12,4,34.565494,71.477429,3,0,0
2009,12,6,34.856902,71.429936,2,0,0
2009,12,13,34.565494,71.477429,0,0,0
2009,12,13,34.565494,71.477429,0,0,0
2009,12,13,33.695975,70.336069,0,0,0
2009,12,14,34.1167788,71.1665154,0,0,0
2009,12,21,33.669014,70.344783,0,0,0
2009,12,21,33.695975,70.336069,0,0,0
2009,12,23,33.908578,71.070055,0,0,0
2009,12,24,34.1167788,71.1665154,0,0,0
2009,12,24,34.865214,71.526639,0,0,0
2009,12,25,33.908578,71.070055,0,0,0
2009,12,25,33.908578,71.070055,0,0,0
2009,12,26,34.856902,71.429936,1,0,0
2009,12,26,34.591512,71.433864,0,0,0
2009,12,27,34.856902,71.429936,1,0,0
2009,12,28,34.1167788,71.1665154,0,0,0
2009,12,31,34.565494,71.477429,0,0,0
2010,1,1,33.697271,71.144852,0,0,0
2010,1,1,34.856902,71.429936,0,0,0
2010,1,1,34.856902,71.429936,0,0,0
2010,1,1,34.856902,71.429936,0,0,0
2010,1,1,34.856902,71.429936,6,0,0
2010,1,6,34.856902,71.429936,0,0,0
2010,1,8,33.908578,71.070055,6,0,1
2010,1,10,34.574856,71.276081,1,0,0
2010,1,10,34.565494,71.477429,1,0,0
2010,1,14,34.565494,71.477429,2,0,0
2010,1,16,34.1167788,71.1665154,0,0,0
2010,1,18,33.695975,70.336069,3,0,3
2010,1,18,34.1167788,71.1665154,0,0,0
2010,1,18,33.695975,70.336069,0,0,0
2010,1,21,34.856902,71.429936,1,0,0
2010,1,23,32.974638,70.14558,7,0,0
2010,1,25,34.865214,71.526639,0,0,0
2010,1,27,34.856902,71.429936,0,0,0
2010,2,2,34.574856,71.276081,2,0,0
2010,2,6,34.856902,71.429936,0,0,0
2010,2,6,34.574856,71.276081,0,0,0
2010,2,6,34.856902,71.429936,0,0,0
2010,2,7,32.974638,70.14558,1,0,0
2010,2,7,33.908578,71.070055,0,0,0
2010,2,8,34.565494,71.477429,0,0,0
2010,2,10,33.908578,71.070055,1,0,0
2010,2,13,34.565494,71.477429,0,0,0
2010,2,14,33.908578,71.070055,1,0,0
2010,2,15,34.565494,71.477429,0,0,0
2010,2,17,33.695975,70.336069,6,0,6
2010,2,17,34.565494,71.477429,2,0,0
2010,2,18,33.908578,71.070055,31,0,1
2010,2,18,33.908578,71.070055,29,0,1
2010,2,18,33.697271,71.144852,11,0,0
2010,2,21,33.695975,70.336069,0,0,0
2010,2,21,34.565494,71.477429,0,0,0
2010,2,21,34.565494,71.477429,0,0,0
2010,2,21,33.908578,71.070055,1,0,0
2010,2,21,33.695975,70.336069,0,0,0
2010,2,21,33.697271,71.144852,1,0,0
2010,2,23,33.908578,71.070055,1,0,0
2010,2,24,32.970436,70.285071,3,0,0
2010,2,25,34.574856,71.276081,0,0,0
2010,3,3,33.908578,71.070055,0,0,0
2010,3,0,33.697271,71.144852,1,0,0
2010,3,8,32.320237,69.859741,2,0,0
2010,3,8,34.574856,71.276081,1,0,0
2010,3,10,33.697271,71.144852,2,0,0
2010,3,12,32.974638,70.14558,3,0,3
2010,3,19,34.856902,71.429936,0,0,0
2010,3,19,34.856902,71.429936,0,0,0
2010,3,20,34.591512,71.433864,0,0,0
2010,3,20,34.565494,71.477429,0,0,0
2010,3,25,34.856902,71.429936,0,0,0
2010,3,25,32.974638,70.14558,1,0,0
2010,3,27,34.574856,71.276081,0,0,0
2010,3,29,33.697271,71.144852,4,0,0
2010,3,29,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,3,31,33.697271,71.144852,0,0,0
2010,4,2,32.998617,70.067081,2,0,0
2010,4,4,34.565494,71.477429,0,0,0
2010,4,10,33.908578,71.070055,1,0,0
2010,4,12,34.565494,71.477429,0,0,0
2010,4,14,34.856902,71.429936,0,0,0
2010,4,15,34.565494,71.477429,0,0,0
2010,4,15,34.565494,71.477429,0,0,0
2010,4,19,34.1167788,71.1665154,1,0,0
2010,4,19,33.908578,71.070055,0,0,0
2010,4,19,33.908578,71.070055,0,0,0
2010,4,22,33.697271,71.144852,0,0,0
2010,4,23,33.697271,71.144852,0,0,0
2010,4,29,33.697271,71.144852,0,0,0
2010,4,29,33.697271,71.144852,0,0,0
2010,5,1,34.715191,71.478896,0,0,0
2010,5,1,34.753228,71.456683,0,0,0
2010,5,5,33.697271,71.144852,0,0,0
2010,5,11,34.1167788,71.1665154,0,0,0
2010,5,15,33.695975,70.336069,0,0,0
2010,5,15,34.574856,71.276081,1,0,0
2010,5,20,32.906338,69.747222,2,0,0
2010,5,21,32.969967,70.276797,1,0,0
2010,5,22,34.565494,71.477429,1,0,0
2010,5,22,34.1167788,71.1665154,0,0,0
2010,5,27,34.735879,71.525833,3,0,0
2010,5,27,34.574856,71.276081,0,0,0
2010,5,27,34.574856,71.276081,0,0,0
2010,5,27,34.574856,71.276081,0,0,0
2010,6,1,34.574856,71.276081,0,0,0
2010,6,1,34.574856,71.276081,0,0,0
2010,6,6,34.735879,71.525833,0,0,0
2010,6,8,33.0073,70.0652,1,0,0
2010,6,9,34.321636,71.402042,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,12,33.697271,71.144852,0,0,0
2010,6,14,34.565494,71.477429,0,0,0
2010,6,14,32.320237,69.859741,0,0,0
2010,6,15,34.565494,71.477429,2,0,0
2010,6,16,32.906013,69.748012,1,0,0
2010,6,22,34.856902,71.429936,0,0,0
2010,6,23,33.694214,71.496152,1,0,0
2010,6,28,34.565494,71.477429,1,0,0
2010,6,30,34.745,71.606667,0,0,0
2010,7,6,34.856902,71.429936,0,0,0
2010,7,6,34.856902,71.429936,0,0,0
2010,7,7,34.856902,71.429936,0,0,0
2010,7,7,34.856902,71.429936,0,0,0
2010,7,7,34.735879,71.525833,0,0,0
2010,7,9,34.565494,71.477429,106,0,2
2010,7,9,32.320237,69.859741,0,0,0
2010,7,11,33.694214,71.496152,2,0,0
2010,7,12,34.856902,71.429936,0,0,0
2010,7,15,34.1167788,71.1665154,0,0,0
2010,7,16,33.908578,71.070055,10,0,0
2010,7,19,33.0073,70.0652,2,0,0
2010,7,23,33.695975,70.336069,4,0,3
2010,7,23,34.856902,71.429936,1,0,0
2010,7,31,32.974638,70.14558,2,0,0
2010,8,0,34.1167788,71.1665154,0,0,0
2010,8,8,33.968129,71.188415,0,0,0
2010,8,21,34.856902,71.429936,1,0,0
2010,8,21,34.565494,71.477429,6,0,0
2010,8,23,34.856902,71.429936,1,0,0
2010,8,23,33.695975,70.336069,7,0,0
2010,8,23,32.304722,69.570278,41,0,1
2010,8,24,34.856902,71.429936,1,0,0
2010,8,25,34.856902,71.429936,1,0,0
2010,8,25,34.565494,71.477429,2,0,0
2010,8,26,34.856902,71.429936,1,0,0
2010,8,27,33.695975,70.336069,0,0,0
2010,8,28,32.320237,69.859741,3,0,0
2010,8,30,33.858004,70.552178,0,0,0
2010,8,31,33.697271,71.144852,3,0,0
2010,9,2,34.735879,71.525833,1,0,0
2010,9,9,34.856902,71.429936,1,0,0
2010,9,9,33.695975,70.336069,10,0,0
2010,9,9,34.565494,71.477429,0,0,0
2010,9,15,34.856902,71.429936,4,0,0
2010,9,19,33.694214,71.496152,0,0,0
2010,9,21,34.565494,71.477429,0,0,0
2010,9,22,34.856902,71.429936,2,0,2
2010,9,22,34.856902,71.429936,2,0,2
2010,9,26,33.69305,71.497244,1,0,1
2010,9,30,34.565494,71.477429,0,0,0
2010,10,3,34.856902,71.429936,0,0,0
2010,10,3,34.565494,71.477429,0,0,0
2010,10,3,32.690393,69.833593,3,0,3
2010,10,3,32.974638,70.14558,3,0,0
2010,10,4,34.856902,71.429936,0,0,0
2010,10,9,34.574856,71.276081,0,0,0
2010,10,9,34.574856,71.276081,0,0,0
2010,10,9,34.574856,71.276081,0,0,0
2010,10,12,34.565494,71.477429,0,0,0
2010,10,13,34.565494,71.477429,3,0,0
2010,10,14,34.092983,71.14528,0,0,0
2010,10,17,33.697271,71.144852,2,0,0
2010,10,20,32.998617,70.067081,1,0,0
2010,10,25,34.856902,71.429936,1,0,0
2010,10,25,33.697271,71.144852,3,0,3
2010,10,26,34.565494,71.477429,0,0,0
2010,10,27,34.565494,71.477429,3,0,0
